
# DDL
CREATE DATABASE Trumpv2

# DML
# CONTEXT-DATABASE: Trumpv2

shooting IncidentDate="September 23, 2019",State="Indiana",CityOrCounty="Gary",Address="1600 block of Connecticut St",Killed=2,Injured=2,Operations="nan" 1571702409
shooting IncidentDate="September 22, 2019",State="Missouri",CityOrCounty="Kansas City",Address="2111 Television Plaza",Killed=0,Injured=5,Operations="nan" 1571702409
shooting IncidentDate="September 21, 2019",State="Louisiana",CityOrCounty="New Orleans",Address="Poland Ave and St. Claude Ave",Killed=0,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="September 21, 2019",State="Ohio",CityOrCounty="Cleveland",Address="3616 East 144th St",Killed=4,Injured=0,Operations="nan" 1571702409
shooting IncidentDate="September 21, 2019",State="South Carolina",CityOrCounty="Lancaster",Address="1399 Old Charlotte Rd",Killed=2,Injured=8,Operations="nan" 1571702409
shooting IncidentDate="September 21, 2019",State="Indiana",CityOrCounty="Indianapolis",Address="101 W Maryland St",Killed=0,Injured=6,Operations="nan" 1571702409
shooting IncidentDate="September 20, 2019",State="Louisiana",CityOrCounty="New Orleans",Address="Canal Blvd and City Park Ave",Killed=1,Injured=5,Operations="nan" 1571702409
shooting IncidentDate="September 19, 2019",State="District of Columbia",CityOrCounty="Washington",Address="1300 block of Columbia Rd NW",Killed=1,Injured=5,Operations="nan" 1571702409
shooting IncidentDate="September 18, 2019",State="Illinois",CityOrCounty="Chicago",Address="4200 block of W Madison St",Killed=3,Injured=1,Operations="nan" 1571702409
shooting IncidentDate="September 18, 2019",State="California",CityOrCounty="Wilmington",Address="800 block of Bayview Ave",Killed=2,Injured=2,Operations="nan" 1571702409
shooting IncidentDate="September 16, 2019",State="Wyoming",CityOrCounty="Cheyenne",Address="3436 E. 11th St",Killed=2,Injured=2,Operations="nan" 1571702409
shooting IncidentDate="September 14, 2019",State="Missouri",CityOrCounty="Saint Louis",Address="5200 block of Tennessee Ave",Killed=1,Injured=3,Operations="nan" 1571702409
shooting IncidentDate="September 14, 2019",State="California",CityOrCounty="Oakland",Address="38th Ave and MacArthur Blvd",Killed=1,Injured=4,Operations="nan" 1571702409
shooting IncidentDate="September 14, 2019",State="Georgia",CityOrCounty="Lagrange",Address="1400 block of Elm St",Killed=0,Injured=4,Operations="nan" 1571702409
